Município,Ano,Area Colhida
3502606,1993,1710
3502606,1994,2250
3502606,1995,2034
3502606,1996,1485
3502606,1997,1357
3502606,1998,1405
3502606,1999,1195
3502606,2000,1394
3502606,2001,1124
3502606,2002,995
3502606,2003,1080
3502606,2004,1455
3502606,2005,1339
3502606,2006,1705
3502606,2007,940
3502606,2008,1890
3502606,2009,1425
3502606,2010,1420
3502606,2011,1220
3502606,2012,1390
3502606,2013,1572
3502606,2014,1637
3502705,1990,19610
3502705,1991,18960
3502705,1992,14580
3502705,1993,6046
3502705,1994,4500
3502705,1995,2600
3502705,1996,2700
3502705,1997,2040
3502705,1998,2300
3502705,1999,2429
3502705,2000,2750
3502705,2001,1600
3502705,2002,2670
3502705,2003,3878
3502705,2004,4470
3502705,2005,4790
3502705,2006,4715
3502705,2007,8060
3502705,2008,7955
3502705,2009,7665
3502705,2010,6350
3502705,2011,6330
3502705,2012,6200
3502705,2013,6470
3502705,2014,7295
3502754,1990,-
3502754,1991,-
3502754,1992,-
3502754,1993,311
3502754,1994,220
3502754,1995,650
3502754,1996,-
3502754,1997,10
3502754,1998,335
3502754,1999,350
3502754,2000,192
3502754,2001,349
3502754,2002,473
3502754,2003,473
3502754,2004,635
3502754,2005,445
3502754,2006,445
3502754,2007,368
3502754,2008,409
3502754,2009,307
3502754,2010,233
3502754,2011,8
3502754,2012,159
3502754,2013,166
3502754,2014,166
3502804,1990,45966
3502804,1991,40622
3502804,1992,41242
3502804,1993,24672
3502804,1994,23427
3502804,1995,19894
3502804,1996,25430
3502804,1997,20334
3502804,1998,19798
3502804,1999,24063
3502804,2000,31463
3502804,2001,31275
3502804,2002,28401
3502804,2003,29256
3502804,2004,28734
3502804,2005,30950
3502804,2006,36334
3502804,2007,35160
3502804,2008,43266
3502804,2009,43040
3502804,2010,40608
3502804,2011,40549
3502804,2012,39347
3502804,2013,38925
3502804,2014,35895
3502903,1990,3825
3502903,1991,3935
3502903,1992,4535
3502903,1993,3095
3502903,1994,2750
3502903,1995,4508
3502903,1996,-
3502903,1997,300
3502903,1998,2612
3502903,1999,2749
3502903,2000,1338
3502903,2001,1078
3502903,2002,1182
3502903,2003,1182
3502903,2004,1690
3502903,2005,1485
3502903,2006,1467
3502903,2007,699
3502903,2008,1448
3502903,2009,1750
3502903,2010,1407
3502903,2011,1905
3502903,2012,1735
3502903,2013,1812
3502903,2014,1872
3503000,1990,9944
3503000,1991,7880
3503000,1992,7900
3503000,1993,8330
3503000,1994,9960
3503000,1995,7250
3503000,1996,7100
3503000,1997,14156
3503000,1998,14882
3503000,1999,14850
3503000,2000,12275
3503000,2001,13624
3503000,2002,12770
3503000,2003,12415
3503000,2004,12320
3503000,2005,13009
3503000,2006,13070
3503000,2007,12970
3503000,2008,14660
3503000,2009,14050
3503000,2010,14100
3503000,2011,14112
3503000,2012,13772
3503000,2013,16300
3503000,2014,12754
3503109,1990,2030
3503109,1991,1765
3503109,1992,1843
3503109,1993,1850
3503109,1994,1924
3503109,1995,1762
3503109,1996,1362
3503109,1997,1172
3503109,1998,1030
3503109,1999,1082
3503109,2000,1172
3503109,2001,1314
3503109,2002,1482
3503109,2003,2089
3503109,2004,4058
3503109,2005,4050
3503109,2006,3814
3503109,2007,2572
3503109,2008,3512
3503109,2009,4512
3503109,2010,4480
3503109,2011,5190
3503109,2012,5000
3503109,2013,5000
3503109,2014,5100
3503158,1990,-
3503158,1991,-
3503158,1992,-
3503158,1993,75
3503158,1994,60
3503158,1995,82
3503158,1996,-
3503158,1997,223
3503158,1998,325
3503158,1999,325
3503158,2000,170
3503158,2001,230
3503158,2002,280
3503158,2003,120
3503158,2004,120
3503158,2005,119
3503158,2006,119
3503158,2007,67
3503158,2008,116
3503158,2009,120
3503158,2010,132
3503158,2011,130
3503158,2012,115
3503158,2013,122
3503158,2014,101
3503208,1990,43450
3503208,1991,50150
3503208,1992,50200
3503208,1993,31200
3503208,1994,40700
3503208,1995,39045
3503208,1996,37760
3503208,1997,37225
3503208,1998,35024
3503208,1999,35130
3503208,2000,35914
3503208,2001,35622
3503208,2002,35214
3503208,2003,35394
3503208,2004,37054
3503208,2005,35414
3503208,2006,34924
3503208,2007,34544
3503208,2008,51395
3503208,2009,49000
3503208,2010,33630
3503208,2011,40630
3503208,2012,40010
3503208,2013,39630
3503208,2014,39630
3503307,1990,33785
3503307,1991,33055
3503307,1992,33035
3503307,1993,32364
3503307,1994,33538
3503307,1995,35357
3503307,1996,36472
3503307,1997,32513
3503307,1998,31160
3503307,1999,31195
3503307,2000,31000
3503307,2001,29440
3503307,2002,30370
3503307,2003,30190
3503307,2004,30921
3503307,2005,29744
3503307,2006,29978
3503307,2007,28270
3503307,2008,29572
3503307,2009,28560
3503307,2010,28350
3503307,2011,29250
3503307,2012,29570
3503307,2013,33570
3503307,2014,3100
3503356,1990,-
3503356,1991,-
3503356,1992,-
3503356,1993,-
3503356,1994,-
3503356,1995,-
3503356,1996,-
3503356,1997,-
3503356,1998,2954
3503356,1999,3110
3503356,2000,2757
3503356,2001,4355
3503356,2002,5766
3503356,2003,4412
3503356,2004,6046
3503356,2005,7355
3503356,2006,3741
3503356,2007,4235
3503356,2008,5721
3503356,2009,5508
3503356,2010,5076
3503356,2011,6320
3503356,2012,6951
3503356,2013,5927
3503356,2014,5858
3503406,1990,2973
3503406,1991,2581
3503406,1992,2456
3503406,1993,1891
3503406,1994,3355
3503406,1995,2416
3503406,1996,2276
3503406,1997,2999
3503406,1998,2928
3503406,1999,2886
3503406,2000,1511
3503406,2001,1485
3503406,2002,1536
3503406,2003,1613
3503406,2004,1774
3503406,2005,1820
3503406,2006,3052
3503406,2007,16669
3503406,2008,21482
3503406,2009,21025
3503406,2010,21428
3503406,2011,10219
3503406,2012,8910
3503406,2013,8727
3503406,2014,8888
3503505,1990,256
3503505,1991,266
3503505,1992,216
3503505,1993,186
3503505,1994,376
3503505,1995,293
3503505,1996,-
3503505,1997,60
3503505,1998,525
3503505,1999,525
3503505,2000,383
3503505,2001,358
3503505,2002,403
3503505,2003,403
3503505,2004,413
3503505,2005,444
3503505,2006,422
3503505,2007,392
3503505,2008,387
3503505,2009,271
3503505,2010,130
3503505,2011,129
3503505,2012,129
3503505,2013,129
3503505,2014,129
3503604,1990,5755
3503604,1991,5350
3503604,1992,5592
3503604,1993,5622
3503604,1994,5492
3503604,1995,5442
3503604,1996,6417
3503604,1997,6320
3503604,1998,6161
3503604,1999,6070
3503604,2000,5480
3503604,2001,5852
3503604,2002,7390
3503604,2003,7330
3503604,2004,7265
3503604,2005,7514
3503604,2006,6505
3503604,2007,7145
3503604,2008,6519
3503604,2009,6500
3503604,2010,6520
3503604,2011,6650
3503604,2012,8870
3503604,2013,8280
3503604,2014,7200
3503703,1990,6830
3503703,1991,8990
3503703,1992,7050
3503703,1993,7122
3503703,1994,6740
3503703,1995,6958
3503703,1996,6957
3503703,1997,6982
3503703,1998,9149
3503703,1999,10269
3503703,2000,9302
3503703,2001,9370
3503703,2002,9275
3503703,2003,9468
3503703,2004,9468
3503703,2005,10038
3503703,2006,9675
3503703,2007,9675
3503703,2008,9631
3503703,2009,9305
3503703,2010,9605
3503703,2011,9105
3503703,2012,9065
3503703,2013,9174
3503703,2014,9345
3503802,1990,5617
3503802,1991,4414
3503802,1992,4805
3503802,1993,3230
3503802,1994,3275
3503802,1995,3266
3503802,1996,3040
3503802,1997,5080
3503802,1998,3385
3503802,1999,4370
3503802,2000,3824
3503802,2001,4420
3503802,2002,3300
3503802,2003,2610
3503802,2004,3060
3503802,2005,3357
3503802,2006,3902
3503802,2007,4644
3503802,2008,4311
3503802,2009,4249
3503802,2010,4350
3503802,2011,3840
3503802,2012,3845
3503802,2013,3930
3503802,2014,4380
3503901,1990,190
3503901,1991,180
3503901,1992,140
3503901,1993,50
3503901,1994,40
3503901,1995,-
3503901,1996,-
3503901,1997,-
3503901,1998,-
3503901,1999,-
3503901,2000,130
3503901,2001,-
3503901,2002,-
3503901,2003,-
3503901,2004,-
3503901,2005,-
3503901,2006,-
3503901,2007,-
3503901,2008,-
3503901,2009,-
3503901,2010,-
3503901,2011,-
3503901,2012,-
3503901,2013,-
3503901,2014,-
3503950,1990,-
3503950,1991,-
3503950,1992,-
3503950,1993,886
3503950,1994,1607
3503950,1995,1592
3503950,1996,1138
3503950,1997,801
3503950,1998,509
3503950,1999,250
3503950,2000,147
3503950,2001,248
3503950,2002,460
3503950,2003,361
3503950,2004,290
3503950,2005,211
3503950,2006,195
3503950,2007,328
3503950,2008,95
3503950,2009,147
3503950,2010,138
3503950,2011,852
3503950,2012,970
3503950,2013,514
3503950,2014,497
3504008,1990,70700
3504008,1991,68736
3504008,1992,75681
3504008,1993,20820
3504008,1994,20600
3504008,1995,19610
3504008,1996,15400
3504008,1997,19066
3504008,1998,17437
3504008,1999,17786
3504008,2000,16658
3504008,2001,16233
3504008,2002,16780
3504008,2003,16268
3504008,2004,17939
3504008,2005,17935
3504008,2006,18010
3504008,2007,18134
