Municipio,Lavoura temporária,Ano,Valor
3500501,Amendoim (em casca),1995,-
3500501,Amendoim (em casca),2014,-
3500501,Arroz (em casca),1995,3
3500501,Arroz (em casca),2014,-
3500501,Aveia (em grão),1995,-
3500501,Aveia (em grão),2014,-
3500501,Batata-doce,1995,-
3500501,Batata-doce,2014,-
3500501,Batata-inglesa,1995,-
3500501,Batata-inglesa,2014,-
3500501,Cana-de-açúcar,1995,7
3500501,Cana-de-açúcar,2014,-
3500501,Cebola,1995,-
3500501,Cebola,2014,-
3500501,Centeio (em grão),1995,-
3500501,Centeio (em grão),2014,-
3500501,Cevada (em grão),1995,-
3500501,Cevada (em grão),2014,-
3500501,Ervilha (em grão),1995,-
3500501,Ervilha (em grão),2014,-
3500501,Fava (em grão),1995,-
3500501,Fava (em grão),2014,-
3500501,Feijão (em grão),1995,6
3500501,Feijão (em grão),2014,-
3500501,Fumo (em folha),1995,-
3500501,Fumo (em folha),2014,-
3500501,Girassol (em grão),1995,-
3500501,Girassol (em grão),2014,-
3500501,Juta (fibra),1995,-
3500501,Juta (fibra),2014,-
3500501,Linho (semente),1995,-
3500501,Linho (semente),2014,-
3500501,Malva (fibra),1995,-
3500501,Malva (fibra),2014,-
3500501,Mamona (baga),1995,-
3500501,Mamona (baga),2014,-
3500501,Mandioca,1995,-
3500501,Mandioca,2014,-
3500501,Melancia,1995,-
3500501,Melancia,2014,-
3500501,Melão,1995,-
3500501,Melão,2014,-
3500501,Milho (em grão),1995,21
3500501,Milho (em grão),2014,227
3500501,Rami (fibra),1995,-
3500501,Rami (fibra),2014,-
3500501,Soja (em grão),1995,-
3500501,Soja (em grão),2014,-
3500501,Sorgo (em grão),1995,-
3500501,Sorgo (em grão),2014,-
3500501,Tomate,1995,28
3500501,Tomate,2014,94
3500501,Trigo (em grão),1995,-
3500501,Trigo (em grão),2014,-
3500501,Triticale (em grão),1995,-
3500501,Triticale (em grão),2014,-
3500550,Abacaxi,1995,-
3500550,Abacaxi,2014,-
3500550,Algodão herbáceo (em caroço),1995,-
3500550,Algodão herbáceo (em caroço),2014,-
3500550,Alho,1995,-
3500550,Alho,2014,-
3500550,Amendoim (em casca),1995,-
3500550,Amendoim (em casca),2014,-
3500550,Arroz (em casca),1995,26
3500550,Arroz (em casca),2014,-
3500550,Aveia (em grão),1995,-
3500550,Aveia (em grão),2014,-
3500550,Batata-doce,1995,-
3500550,Batata-doce,2014,-
3500550,Batata-inglesa,1995,-
3500550,Batata-inglesa,2014,-
3500550,Cana-de-açúcar,1995,352
3500550,Cana-de-açúcar,2014,36000
3500550,Cebola,1995,-
3500550,Cebola,2014,-
3500550,Centeio (em grão),1995,-
3500550,Centeio (em grão),2014,-
3500550,Cevada (em grão),1995,-
3500550,Cevada (em grão),2014,-
3500550,Ervilha (em grão),1995,-
3500550,Ervilha (em grão),2014,-
3500550,Fava (em grão),1995,-
3500550,Fava (em grão),2014,-
3500550,Feijão (em grão),1995,114
3500550,Feijão (em grão),2014,1610
3500550,Fumo (em folha),1995,-
3500550,Fumo (em folha),2014,-
3500550,Girassol (em grão),1995,-
3500550,Girassol (em grão),2014,-
3500550,Juta (fibra),1995,-
3500550,Juta (fibra),2014,-
3500550,Linho (semente),1995,-
3500550,Linho (semente),2014,-
3500550,Malva (fibra),1995,-
3500550,Malva (fibra),2014,-
3500550,Mamona (baga),1995,-
3500550,Mamona (baga),2014,-
3500550,Mandioca,1995,-
3500550,Mandioca,2014,-
3500550,Melancia,1995,-
3500550,Melancia,2014,-
3500550,Melão,1995,-
3500550,Melão,2014,-
3500550,Milho (em grão),1995,698
3500550,Milho (em grão),2014,5538
3500550,Rami (fibra),1995,-
3500550,Rami (fibra),2014,-
3500550,Soja (em grão),1995,265
3500550,Soja (em grão),2014,7521
3500550,Sorgo (em grão),1995,-
3500550,Sorgo (em grão),2014,-
3500550,Tomate,1995,-
3500550,Tomate,2014,-
3500550,Trigo (em grão),1995,-
3500550,Trigo (em grão),2014,180
3500550,Triticale (em grão),1995,-
3500550,Triticale (em grão),2014,-
3500600,Abacaxi,1995,-
3500600,Abacaxi,2014,-
3500600,Algodão herbáceo (em caroço),1995,-
3500600,Algodão herbáceo (em caroço),2014,-
3500600,Alho,1995,-
3500600,Alho,2014,-
3500600,Amendoim (em casca),1995,-
3500600,Amendoim (em casca),2014,-
3500600,Arroz (em casca),1995,-
3500600,Arroz (em casca),2014,-
3500600,Aveia (em grão),1995,-
3500600,Aveia (em grão),2014,-
3500600,Batata-doce,1995,-
3500600,Batata-doce,2014,-
3500600,Batata-inglesa,1995,-
3500600,Batata-inglesa,2014,-
3500600,Cana-de-açúcar,1995,-
3500600,Cana-de-açúcar,2014,-
3500600,Cebola,1995,-
3500600,Cebola,2014,-
3500600,Centeio (em grão),1995,-
3500600,Centeio (em grão),2014,-
3500600,Cevada (em grão),1995,-
3500600,Cevada (em grão),2014,-
3500600,Ervilha (em grão),1995,-
3500600,Ervilha (em grão),2014,-
3500600,Fava (em grão),1995,-
3500600,Fava (em grão),2014,-
3500600,Feijão (em grão),1995,-
3500600,Feijão (em grão),2014,-
3500600,Fumo (em folha),1995,-
3500600,Fumo (em folha),2014,-
3500600,Girassol (em grão),1995,-
3500600,Girassol (em grão),2014,-
3500600,Juta (fibra),1995,-
3500600,Juta (fibra),2014,-
3500600,Linho (semente),1995,-
3500600,Linho (semente),2014,-
3500600,Malva (fibra),1995,-
3500600,Malva (fibra),2014,-
3500600,Mamona (baga),1995,-
3500600,Mamona (baga),2014,-
3500600,Mandioca,1995,-
3500600,Mandioca,2014,-
3500600,Melancia,1995,-
3500600,Melancia,2014,-
3500600,Melão,1995,-
3500600,Melão,2014,-
3500600,Milho (em grão),1995,-
3500600,Milho (em grão),2014,-
3500600,Rami (fibra),1995,-
3500600,Rami (fibra),2014,-
3500600,Soja (em grão),1995,-
3500600,Soja (em grão),2014,-
3500600,Sorgo (em grão),1995,-
3500600,Sorgo (em grão),2014,-
3500600,Tomate,1995,-
3500600,Tomate,2014,-
3500600,Trigo (em grão),1995,-
3500600,Trigo (em grão),2014,-
3500600,Triticale (em grão),1995,-
3500600,Triticale (em grão),2014,-
3500709,Abacaxi,1995,413
3500709,Abacaxi,2014,3756
3500709,Algodão herbáceo (em caroço),1995,-
3500709,Algodão herbáceo (em caroço),2014,-
3500709,Alho,1995,-
3500709,Alho,2014,-
3500709,Amendoim (em casca),1995,-
3500709,Amendoim (em casca),2014,264
3500709,Arroz (em casca),1995,26
3500709,Arroz (em casca),2014,-
3500709,Aveia (em grão),1995,-
3500709,Aveia (em grão),2014,-
3500709,Batata-doce,1995,-
3500709,Batata-doce,2014,-
3500709,Batata-inglesa,1995,-
3500709,Batata-inglesa,2014,-
3500709,Cana-de-açúcar,1995,10395
3500709,Cana-de-açúcar,2014,36026
3500709,Cebola,1995,-
3500709,Cebola,2014,-
3500709,Centeio (em grão),1995,-
3500709,Centeio (em grão),2014,-
3500709,Cevada (em grão),1995,-
3500709,Cevada (em grão),2014,-
3500709,Ervilha (em grão),1995,-
3500709,Ervilha (em grão),2014,-
3500709,Fava (em grão),1995,-
3500709,Fava (em grão),2014,-
3500709,Feijão (em grão),1995,6
3500709,Feijão (em grão),2014,-
3500709,Fumo (em folha),1995,-
3500709,Fumo (em folha),2014,-
3500709,Girassol (em grão),1995,-
3500709,Girassol (em grão),2014,-
3500709,Juta (fibra),1995,-
3500709,Juta (fibra),2014,-
3500709,Linho (semente),1995,-
3500709,Linho (semente),2014,-
3500709,Malva (fibra),1995,-
3500709,Malva (fibra),2014,-
3500709,Mamona (baga),1995,-
3500709,Mamona (baga),2014,-
3500709,Mandioca,1995,-
3500709,Mandioca,2014,17
3500709,Melancia,1995,-
3500709,Melancia,2014,-
3500709,Melão,1995,-
3500709,Melão,2014,-
3500709,Milho (em grão),1995,82
3500709,Milho (em grão),2014,328
3500709,Rami (fibra),1995,-
3500709,Rami (fibra),2014,-
3500709,Soja (em grão),1995,-
3500709,Soja (em grão),2014,-
3500709,Sorgo (em grão),1995,-
3500709,Sorgo (em grão),2014,-
3500709,Tomate,1995,-
3500709,Tomate,2014,-
3500709,Trigo (em grão),1995,-
3500709,Trigo (em grão),2014,-
3500709,Triticale (em grão),1995,-
3500709,Triticale (em grão),2014,-
3500758,Abacaxi,1995,-
3500758,Abacaxi,2014,-
3500758,Algodão herbáceo (em caroço),1995,-
3500758,Algodão herbáceo (em caroço),2014,-
3500758,Alho,1995,-
3500758,Alho,2014,-
3500758,Amendoim (em casca),1995,6
3500758,Amendoim (em casca),2014,-
3500758,Arroz (em casca),1995,32
3500758,Arroz (em casca),2014,-
3500758,Aveia (em grão),1995,-
3500758,Aveia (em grão),2014,-
3500758,Batata-doce,1995,-
3500758,Batata-doce,2014,-
3500758,Batata-inglesa,1995,250
3500758,Batata-inglesa,2014,-
3500758,Cana-de-açúcar,1995,-
3500758,Cana-de-açúcar,2014,2970
3500758,Cebola,1995,-
3500758,Cebola,2014,-
3500758,Centeio (em grão),1995,-
3500758,Centeio (em grão),2014,-
3500758,Cevada (em grão),1995,-
3500758,Cevada (em grão),2014,-
3500758,Ervilha (em grão),1995,-
3500758,Ervilha (em grão),2014,-
3500758,Fava (em grão),1995,-
3500758,Fava (em grão),2014,-
3500758,Feijão (em grão),1995,134
3500758,Feijão (em grão),2014,306
3500758,Fumo (em folha),1995,-
3500758,Fumo (em folha),2014,-
3500758,Girassol (em grão),1995,-
3500758,Girassol (em grão),2014,-
3500758,Juta (fibra),1995,-
3500758,Juta (fibra),2014,-
3500758,Linho (semente),1995,-
3500758,Linho (semente),2014,-
3500758,Malva (fibra),1995,-
3500758,Malva (fibra),2014,-
3500758,Mamona (baga),1995,-
3500758,Mamona (baga),2014,-
3500758,Mandioca,1995,63
3500758,Mandioca,2014,1296
3500758,Melancia,1995,37
3500758,Melancia,2014,676
3500758,Melão,1995,-
3500758,Melão,2014,-
3500758,Milho (em grão),1995,891
3500758,Milho (em grão),2014,2761
3500758,Rami (fibra),1995,-
3500758,Rami (fibra),2014,-
3500758,Soja (em grão),1995,-
3500758,Soja (em grão),2014,1179
3500758,Sorgo (em grão),1995,-
3500758,Sorgo (em grão),2014,-
3500758,Tomate,1995,812
3500758,Tomate,2014,113
3500758,Trigo (em grão),1995,-
3500758,Trigo (em grão),2014,-
3500758,Triticale (em grão),1995,-
3500758,Triticale (em grão),2014,-
3500808,Abacaxi,1995,-
3500808,Abacaxi,2014,-
3500808,Algodão herbáceo (em caroço),1995,297
3500808,Algodão herbáceo (em caroço),2014,-
3500808,Alho,1995,-
3500808,Alho,2014,-
3500808,Amendoim (em casca),1995,91
3500808,Amendoim (em casca),2014,42
3500808,Arroz (em casca),1995,12
3500808,Arroz (em casca),2014,-
3500808,Aveia (em grão),1995,-
3500808,Aveia (em grão),2014,-
3500808,Batata-doce,1995,1890
3500808,Batata-doce,2014,2036
3500808,Batata-inglesa,1995,-
3500808,Batata-inglesa,2014,-
3500808,Cana-de-açúcar,1995,-
3500808,Cana-de-açúcar,2014,-
3500808,Cebola,1995,-
3500808,Cebola,2014,-
3500808,Centeio (em grão),1995,-
3500808,Centeio (em grão),2014,-
3500808,Cevada (em grão),1995,-
3500808,Cevada (em grão),2014,-
3500808,Ervilha (em grão),1995,-
3500808,Ervilha (em grão),2014,-
3500808,Fava (em grão),1995,-
3500808,Fava (em grão),2014,-
3500808,Feijão (em grão),1995,38
3500808,Feijão (em grão),2014,72
3500808,Fumo (em folha),1995,-
3500808,Fumo (em folha),2014,-
3500808,Girassol (em grão),1995,-
