Municipio,Lavoura permanente,Ano,Valor
3500402,Manga,2014,-
3500402,Maracujá,1995,-
3500402,Maracujá,2014,21
3500402,Marmelo,1995,-
3500402,Marmelo,2014,-
3500402,Noz (fruto seco),1995,-
3500402,Noz (fruto seco),2014,-
3500402,Palmito,1995,-
3500402,Palmito,2014,-
3500402,Pera,1995,-
3500402,Pera,2014,-
3500402,Pêssego,1995,-
3500402,Pêssego,2014,-
3500402,Pimenta-do-reino,1995,-
3500402,Pimenta-do-reino,2014,-
3500402,Sisal ou agave (fibra),1995,-
3500402,Sisal ou agave (fibra),2014,-
3500402,Tangerina,1995,-
3500402,Tangerina,2014,-
3500402,Tungue (fruto seco),1995,-
3500402,Tungue (fruto seco),2014,-
3500402,Urucum (semente),1995,-
3500402,Urucum (semente),2014,-
3500402,Uva,1995,-
3500402,Uva,2014,-
3500501,Abacate,1995,-
3500501,Abacate,2014,12
3500501,Algodão arbóreo (em caroço),1995,-
3500501,Algodão arbóreo (em caroço),2014,-
3500501,Azeitona,1995,-
3500501,Azeitona,2014,-
3500501,Banana (cacho),1995,-
3500501,Banana (cacho),2014,169
3500501,Borracha (látex coagulado),1995,-
3500501,Borracha (látex coagulado),2014,-
3500501,Cacau (em amêndoa),1995,-
3500501,Cacau (em amêndoa),2014,-
3500501,Café (em grão) Total,1995,1036
3500501,Café (em grão) Total,2014,3064
3500501,Café (em grão) Arábica,1995,-
3500501,Café (em grão) Arábica,2014,3064
3500501,Café (em grão) Canephora,1995,-
3500501,Café (em grão) Canephora,2014,-
3500501,Caqui,1995,-
3500501,Caqui,2014,-
3500501,Castanha de caju,1995,-
3500501,Castanha de caju,2014,-
3500501,Chá-da-índia (folha verde),1995,-
3500501,Chá-da-índia (folha verde),2014,-
3500501,Coco-da-baía,1995,-
3500501,Coco-da-baía,2014,-
3500501,Dendê (cacho de coco),1995,-
3500501,Dendê (cacho de coco),2014,-
3500501,Erva-mate (folha verde),1995,-
3500501,Erva-mate (folha verde),2014,-
3500501,Figo,1995,-
3500501,Figo,2014,-
3500501,Goiaba,1995,-
3500501,Goiaba,2014,-
3500501,Guaraná (semente),1995,-
3500501,Guaraná (semente),2014,-
3500501,Laranja,1995,15
3500501,Laranja,2014,17
3500501,Limão,1995,24
3500501,Limão,2014,-
3500501,Maçã,1995,-
3500501,Maçã,2014,-
3500501,Mamão,1995,-
3500501,Mamão,2014,-
3500501,Manga,1995,-
3500501,Manga,2014,-
3500501,Maracujá,1995,-
3500501,Maracujá,2014,-
3500501,Marmelo,1995,-
3500501,Marmelo,2014,-
3500501,Noz (fruto seco),1995,-
3500501,Noz (fruto seco),2014,-
3500501,Palmito,1995,-
3500501,Palmito,2014,-
3500501,Pera,1995,-
3500501,Pera,2014,-
3500501,Pêssego,1995,-
3500501,Pêssego,2014,-
3500501,Pimenta-do-reino,1995,-
3500501,Pimenta-do-reino,2014,-
3500501,Sisal ou agave (fibra),1995,-
3500501,Sisal ou agave (fibra),2014,-
3500501,Tangerina,1995,16
3500501,Tangerina,2014,51
3500501,Tungue (fruto seco),1995,-
3500501,Tungue (fruto seco),2014,-
3500501,Urucum (semente),1995,-
3500501,Urucum (semente),2014,-
3500501,Uva,1995,-
3500501,Uva,2014,-
3500550,Abacate,1995,-
3500550,Abacate,2014,-
3500550,Algodão arbóreo (em caroço),1995,-
3500550,Algodão arbóreo (em caroço),2014,-
3500550,Azeitona,1995,-
3500550,Azeitona,2014,-
3500550,Banana (cacho),1995,-
3500550,Banana (cacho),2014,-
3500550,Borracha (látex coagulado),1995,-
3500550,Borracha (látex coagulado),2014,-
3500550,Cacau (em amêndoa),1995,-
3500550,Cacau (em amêndoa),2014,-
3500550,Café (em grão) Total,1995,19
3500550,Café (em grão) Total,2014,120
3500550,Café (em grão) Arábica,1995,-
3500550,Café (em grão) Arábica,2014,120
3500550,Café (em grão) Canephora,1995,-
3500550,Café (em grão) Canephora,2014,-
3500550,Caqui,1995,-
3500550,Caqui,2014,-
3500550,Castanha de caju,1995,-
3500550,Castanha de caju,2014,-
3500550,Chá-da-índia (folha verde),1995,-
3500550,Chá-da-índia (folha verde),2014,-
3500550,Coco-da-baía,1995,-
3500550,Coco-da-baía,2014,-
3500550,Dendê (cacho de coco),1995,-
3500550,Dendê (cacho de coco),2014,-
3500550,Erva-mate (folha verde),1995,-
3500550,Erva-mate (folha verde),2014,-
3500550,Figo,1995,-
3500550,Figo,2014,-
3500550,Goiaba,1995,-
3500550,Goiaba,2014,-
3500550,Guaraná (semente),1995,-
3500550,Guaraná (semente),2014,-
3500550,Laranja,1995,492
3500550,Laranja,2014,95105
3500550,Limão,1995,168
3500550,Limão,2014,-
3500550,Maçã,1995,-
3500550,Maçã,2014,-
3500550,Mamão,1995,-
3500550,Mamão,2014,-
3500550,Manga,1995,-
3500550,Manga,2014,-
3500550,Maracujá,1995,-
3500550,Maracujá,2014,-
3500550,Marmelo,1995,-
3500550,Marmelo,2014,-
3500550,Noz (fruto seco),1995,-
3500550,Noz (fruto seco),2014,-
3500550,Palmito,1995,-
3500550,Palmito,2014,-
3500550,Pera,1995,-
3500550,Pera,2014,-
3500550,Pêssego,1995,-
3500550,Pêssego,2014,-
3500550,Pimenta-do-reino,1995,-
3500550,Pimenta-do-reino,2014,-
3500550,Sisal ou agave (fibra),1995,-
3500550,Sisal ou agave (fibra),2014,-
3500550,Tangerina,1995,-
3500550,Tangerina,2014,-
3500550,Tungue (fruto seco),1995,-
3500550,Tungue (fruto seco),2014,-
3500550,Urucum (semente),1995,-
