Município,Ano,Area Colhida
3501400,2005,1876
3501400,2006,1843
3501400,2007,1880
3501400,2008,2579
3501400,2009,1780
3501400,2010,1046
3501400,2011,1066
3501400,2012,1033
3501400,2013,1030
3501400,2014,518
3501509,1990,1771
3501509,1991,1772
3501509,1992,1464
3501509,1993,1377
3501509,1994,1065
3501509,1995,1071
3501509,1996,774
3501509,1997,743
3501509,1998,748
3501509,1999,746
3501509,2000,553
3501509,2001,958
3501509,2002,908
3501509,2003,902
3501509,2004,605
3501509,2005,955
3501509,2006,977
3501509,2007,1657
3501509,2008,920
3501509,2009,916
3501509,2010,1011
3501509,2011,1032
3501509,2012,930
3501509,2013,1101
3501509,2014,1281
3501608,1990,169
3501608,1991,169
3501608,1992,169
3501608,1993,141
3501608,1994,132
3501608,1995,135
3501608,1996,5
3501608,1997,122
3501608,1998,111
3501608,1999,122
3501608,2000,101
3501608,2001,120
3501608,2002,100
3501608,2003,-
3501608,2004,-
3501608,2005,-
3501608,2006,-
3501608,2007,-
3501608,2008,-
3501608,2009,-
3501608,2010,-
3501608,2011,-
3501608,2012,-
3501608,2013,-
3501608,2014,-
3501707,1990,1796
3501707,1991,1526
3501707,1992,999
3501707,1993,792
3501707,1994,636
3501707,1995,472
3501707,1996,490
3501707,1997,483
3501707,1998,418
3501707,1999,418
3501707,2000,690
3501707,2001,605
3501707,2002,632
3501707,2003,644
3501707,2004,607
3501707,2005,607
3501707,2006,607
3501707,2007,596
3501707,2008,750
3501707,2009,16
3501707,2010,750
3501707,2011,622
3501707,2012,199
3501707,2013,274
3501707,2014,274
3501806,1990,2785
3501806,1991,2212
3501806,1992,835
3501806,1993,619
3501806,1994,744
3501806,1995,628
3501806,1996,651
3501806,1997,568
3501806,1998,598
3501806,1999,885
3501806,2000,701
3501806,2001,892
3501806,2002,1036
3501806,2003,798
3501806,2004,859
3501806,2005,748
3501806,2006,622
3501806,2007,728
3501806,2008,565
3501806,2009,475
3501806,2010,755
3501806,2011,755
3501806,2012,704
3501806,2013,1014
3501806,2014,1043
3501905,1990,6711
3501905,1991,6613
3501905,1992,5713
3501905,1993,4221
3501905,1994,4807
3501905,1995,4886
